,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
43,Q2 1989,0.0,Batman,Warner Bros.,251188924.0,1989/6/23,1989/6/30,Q2,1989
369,Q4 1989,8.0,The Little Mermaid,Walt Disney Studios Motion Pictures,84355863.0,1989/11/17,1989/12/31,Q4,1989
408,Q4 1989,10.0,The War of the Roses,Twentieth Century Fox,86888546.0,1989/12/8,1989/12/31,Q4,1989
249,Q3 1989,3.0,Parenthood,Universal Pictures,100047830.0,1989/8/2,1989/9/30,Q3,1989
101,Q4 1989,26.0,Driving Miss Daisy,Warner Bros.,106593296.0,1989/12/15,1989/12/31,Q4,1989
239,Q4 1989,6.0,National Lampoon's Christmas Vacation,Warner Bros.,71319526.0,1989/12/1,1989/12/31,Q4,1989
125,Q2 1989,2.0,Ghostbusters II,Columbia Pictures,112494738.0,1989/6/16,1989/6/30,Q2,1989
38,Q4 1989,4.0,Back to the Future Part II,Universal Pictures,118450002.0,1989/11/22,1989/12/31,Q4,1989
173,Q2 1989,1.0,Indiana Jones and the Last Crusade,Paramount Pictures,197171806.0,1989/5/24,1989/6/30,Q2,1989
429,Q4 1989,5.0,Twins,Universal Pictures,111938388.0,1989/12/9,1989/12/31,Q4,1989
221,Q4 1990,77.0,Misery,Columbia Pictures,61276872.0,1990/11/30,1990/12/31,Q4,1990
259,Q1 1990,94.0,Pretty Woman,Walt Disney Studios Motion Pictures,178406268.0,1990/3/23,1990/3/31,Q1,1990
155,Q4 1990,72.0,Home Alone,Twentieth Century Fox,285761243.0,1990/11/16,1990/12/31,Q4,1990
417,Q2 1990,73.0,Total Recall,Sony Pictures Releasing,119394840.0,1990/6/1,1990/6/30,Q2,1990
85,Q4 1990,75.0,Dances with Wolves,Orion Pictures,184208848.0,1990/11/9,1990/12/31,Q4,1990
192,Q4 1990,79.0,Kindergarten Cop,Universal Pictures,91457688.0,1990/12/22,1990/12/31,Q4,1990
350,Q4 1990,90.0,The Godfather: Part III,Paramount Pictures,66666062.0,1990/12/25,1990/12/31,Q4,1990
4,Q4 1990,76.0,3 Men and a Little Lady,Walt Disney Studios Motion Pictures,71609321.0,1990/11/21,1990/12/31,Q4,1990
39,Q2 1990,74.0,Back to the Future Part III,Universal Pictures,87727583.0,1990/5/25,1990/6/30,Q2,1990
104,Q4 1990,81.0,Edward Scissorhands,Twentieth Century Fox,56362352.0,1990/12/7,1990/12/31,Q4,1990
120,Q4 1991,208.0,Fried Green Tomatoes,Universal Pictures,82418501.0,1991/12/27,1991/12/31,Q4,1991
111,Q4 1991,157.0,Father of the Bride,Walt Disney Studios Motion Pictures,89325780.0,1991/12/20,1991/12/31,Q4,1991
308,Q4 1991,154.0,Star Trek VI: The Undiscovered Country,Paramount Pictures,74888996.0,1991/12/6,1991/12/31,Q4,1991
40,Q2 1991,148.0,Backdraft,Universal Pictures,77868585.0,1991/5/24,1991/6/30,Q2,1991
65,Q4 1991,153.0,Cape Fear,Universal Pictures,79091969.0,1991/11/15,1991/12/31,Q4,1991
124,Q3 1991,167.0,Ghost,Paramount Pictures,217631306.0,1991/7/13,1991/9/30,Q3,1991
266,Q2 1991,172.0,Robin Hood: Prince of Thieves,Warner Bros.,165493908.0,1991/6/14,1991/6/30,Q2,1991
51,Q4 1991,150.0,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1991/11/15,1991/12/31,Q4,1991
400,Q1 1991,146.0,The Silence of the Lambs,Orion Pictures,130742922.0,1991/2/14,1991/3/31,Q1,1991
326,Q4 1991,147.0,The Addams Family,Paramount Pictures,113502426.0,1991/11/22,1991/12/31,Q4,1991
8,Q4 1992,240.0,A Few Good Men,Columbia Pictures,141340178.0,1992/12/11,1992/12/31,Q4,1992
332,Q4 1992,238.0,The Bodyguard,Warner Bros.,121945720.0,1992/11/25,1992/12/31,Q4,1992
108,Q2 1992,241.0,Far and Away,Universal Pictures,58883840.0,1992/5/22,1992/6/30,Q2,1992
156,Q4 1992,235.0,Home Alone 2: Lost in New York,Twentieth Century Fox,173585516.0,1992/11/20,1992/12/31,Q4,1992
47,Q2 1992,236.0,Batman Returns,Warner Bros.,162831698.0,1992/6/19,1992/6/30,Q2,1992
275,Q4 1992,270.0,Scent of a Woman,Universal Pictures,63095253.0,1992/12/23,1992/12/31,Q4,1992
437,Q1 1992,260.0,Wayne's World,Paramount Pictures,121697323.0,1992/2/14,1992/3/31,Q1,1992
431,Q3 1992,239.0,Unforgiven,Warner Bros.,101157447.0,1992/8/7,1992/9/30,Q3,1992
157,Q3 1992,261.0,"Honey, I Blew Up the Kid",Walt Disney Studios Motion Pictures,58662452.0,1992/7/17,1992/9/30,Q3,1992
339,Q4 1992,262.0,The Crying Game,Miramax,62548947.0,1992/11/27,1992/12/31,Q4,1992
349,Q3 1993,324.0,The Fugitive,Warner Bros.,183403565.0,1993/8/6,1993/9/30,Q3,1993
83,Q4 1993,332.0,Cool Runnings,Walt Disney Studios Motion Pictures,68856263.0,1993/10/1,1993/12/31,Q4,1993
276,Q4 1993,352.0,Schindler's List,Universal Pictures,96065768.0,1993/12/15,1993/12/31,Q4,1993
134,Q1 1993,329.0,Groundhog Day,Columbia Pictures,70906973.0,1993/2/12,1993/3/31,Q1,1993
187,Q2 1993,323.0,Jurassic Park,Universal Pictures,357067947.0,1993/6/11,1993/6/30,Q2,1993
136,Q4 1993,346.0,Grumpy Old Men,Warner Bros.,70172621.0,1993/12/25,1993/12/31,Q4,1993
235,Q4 1993,325.0,Mrs. Doubtfire,Twentieth Century Fox,219195243.0,1993/11/24,1993/12/31,Q4,1993
