season,Unnamed: 0,movie,studio,gross,release,time
Q2 1989,0,Batman,Warner Bros.,251188924.0,1989-06-23,1989-06-30
Q2 1989,1,Indiana Jones and the Last Crusade,Paramount Pictures,197171806.0,1989-05-24,1989-06-30
Q4 1989,4,Back to the Future Part II,Universal Pictures,118450002.0,1989-11-22,1989-12-31
Q2 1989,2,Ghostbusters II,Columbia Pictures,112494738.0,1989-06-16,1989-06-30
Q4 1989,5,Twins,Universal Pictures,111938388.0,1989-12-09,1989-12-31
Q4 1989,26,Driving Miss Daisy,Warner Bros.,106593296.0,1989-12-15,1989-12-31
Q3 1989,3,Parenthood,Universal Pictures,100047830.0,1989-08-02,1989-09-30
Q4 1989,10,The War of the Roses,Twentieth Century Fox,86888546.0,1989-12-08,1989-12-31
Q4 1989,8,The Little Mermaid,Walt Disney Studios Motion Pictures,84355863.0,1989-11-17,1989-12-31
Q4 1989,6,National Lampoon's Christmas Vacation,Warner Bros.,71319526.0,1989-12-01,1989-12-31
Q4 1990,72,Home Alone,Twentieth Century Fox,285761243.0,1990-11-16,1990-12-31
Q4 1990,75,Dances with Wolves,Orion Pictures,184208848.0,1990-11-09,1990-12-31
Q1 1990,94,Pretty Woman,Walt Disney Studios Motion Pictures,178406268.0,1990-03-23,1990-03-31
Q2 1990,73,Total Recall,Sony Pictures Releasing,119394840.0,1990-06-01,1990-06-30
Q4 1990,82,Back to the Future Part II,Universal Pictures,118450002.0,1990-11-22,1990-12-31
Q4 1990,96,Driving Miss Daisy,Warner Bros.,106593296.0,1990-12-15,1990-12-31
Q3 1990,93,Parenthood,Universal Pictures,100047830.0,1990-08-02,1990-09-30
Q4 1990,79,Kindergarten Cop,Universal Pictures,91457688.0,1990-12-22,1990-12-31
Q2 1990,74,Back to the Future Part III,Universal Pictures,87727583.0,1990-05-25,1990-06-30
Q4 1990,76,3 Men and a Little Lady,Walt Disney Studios Motion Pictures,71609321.0,1990-11-21,1990-12-31
Q4 1991,161,Home Alone,Twentieth Century Fox,285761243.0,1991-11-16,1991-12-31
Q3 1991,167,Ghost,Paramount Pictures,217631306.0,1991-07-13,1991-09-30
Q4 1991,164,Dances with Wolves,Orion Pictures,184208848.0,1991-11-09,1991-12-31
Q2 1991,172,Robin Hood: Prince of Thieves,Warner Bros.,165493908.0,1991-06-14,1991-06-30
Q4 1991,150,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1991-11-15,1991-12-31
Q1 1991,146,The Silence of the Lambs,Orion Pictures,130742922.0,1991-02-14,1991-03-31
Q4 1991,147,The Addams Family,Paramount Pictures,113502426.0,1991-11-22,1991-12-31
Q4 1991,151,Kindergarten Cop,Universal Pictures,91457688.0,1991-12-22,1991-12-31
Q4 1991,157,Father of the Bride,Walt Disney Studios Motion Pictures,89325780.0,1991-12-20,1991-12-31
Q4 1991,208,Fried Green Tomatoes,Universal Pictures,82418501.0,1991-12-27,1991-12-31
Q4 1992,235,Home Alone 2: Lost in New York,Twentieth Century Fox,173585516.0,1992-11-20,1992-12-31
Q2 1992,236,Batman Returns,Warner Bros.,162831698.0,1992-06-19,1992-06-30
Q4 1992,251,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1992-11-15,1992-12-31
Q4 1992,240,A Few Good Men,Columbia Pictures,141340178.0,1992-12-11,1992-12-31
Q4 1992,238,The Bodyguard,Warner Bros.,121945720.0,1992-11-25,1992-12-31
Q1 1992,260,Wayne's World,Paramount Pictures,121697323.0,1992-02-14,1992-03-31
Q4 1992,257,The Addams Family,Paramount Pictures,113502426.0,1992-11-22,1992-12-31
Q3 1992,239,Unforgiven,Warner Bros.,101157447.0,1992-08-07,1992-09-30
Q4 1992,256,Fried Green Tomatoes,Universal Pictures,82418501.0,1992-12-27,1992-12-31
Q4 1992,259,The Prince of Tides,Columbia Pictures,74787599.0,1992-12-27,1992-12-31
Q2 1993,323,Jurassic Park,Universal Pictures,357067947.0,1993-06-11,1993-06-30
Q4 1993,325,Mrs. Doubtfire,Twentieth Century Fox,219195243.0,1993-11-24,1993-12-31
Q3 1993,324,The Fugitive,Warner Bros.,183403565.0,1993-08-06,1993-09-30
Q4 1993,328,A Few Good Men,Columbia Pictures,141340178.0,1993-12-11,1993-12-31
Q4 1993,357,The Bodyguard,Warner Bros.,121945720.0,1993-11-25,1993-12-31
Q3 1993,326,In the Line of Fire,Columbia Pictures,102314823.0,1993-07-09,1993-09-30
Q3 1993,339,Unforgiven,Warner Bros.,101157447.0,1993-08-07,1993-09-30
Q4 1993,333,The Pelican Brief,Warner Bros.,100768056.0,1993-12-17,1993-12-31
Q4 1993,352,Schindler's List,Universal Pictures,96065768.0,1993-12-15,1993-12-31
Q3 1993,350,Free Willy,Warner Bros.,77698625.0,1993-07-16,1993-09-30
Q2 1994,426,Jurassic Park,Universal Pictures,357067947.0,1994-06-11,1994-06-30
Q3 1994,450,The Fugitive,Warner Bros.,183403565.0,1994-08-06,1994-09-30
Q4 1994,411,The Santa Clause,Walt Disney Studios Motion Pictures,144833357.0,1994-11-11,1994-12-31
Q2 1994,410,The Flintstones,Universal Pictures,130531208.0,1994-05-27,1994-06-30
Q4 1994,417,Dumb and Dumber,New Line Cinema,127175374.0,1994-12-16,1994-12-31
Q2 1994,438,Speed,Twentieth Century Fox,121248145.0,1994-06-10,1994-06-30
Q3 1994,439,The Mask,New Line Cinema,119938730.0,1994-07-29,1994-09-30
Q4 1994,415,Pulp Fiction,Miramax,107928762.0,1994-10-14,1994-12-31
Q4 1994,412,Interview with the Vampire: The Vampire Chronicles,Warner Bros.,105264608.0,1994-11-11,1994-12-31
Q2 1994,437,Maverick,Warner Bros.,101631272.0,1994-05-20,1994-06-30
Q3 1995,539,Forrest Gump,Paramount Pictures,329694499.0,1995-07-06,1995-09-30
Q2 1995,532,The Lion King,Walt Disney Studios Motion Pictures,312855561.0,1995-06-15,1995-06-30
Q4 1995,520,Toy Story,Walt Disney Studios Motion Pictures,191796233.0,1995-11-22,1995-12-31
Q2 1995,518,Batman Forever,Warner Bros.,184031112.0,1995-06-16,1995-06-30
Q2 1995,519,Apollo 13,Universal Pictures,172071312.0,1995-06-30,1995-06-30
Q2 1995,558,Pocahontas,Walt Disney Studios Motion Pictures,141579773.0,1995-06-16,1995-06-30
Q4 1995,521,Ace Ventura: When Nature Calls,Warner Bros.,108385533.0,1995-11-10,1995-12-31
Q4 1995,523,GoldenEye,Metro-Goldwyn-Mayer (MGM),106429941.0,1995-11-17,1995-12-31
Q4 1995,527,Jumanji,Sony Pictures Releasing,100475249.0,1995-12-15,1995-12-31
