season,Unnamed: 0,movie,studio,gross,release,time
Q1 2007,4752,300,Warner Bros.,210614939,2007/3/9,2007/3/31
Q4 2009,6065,2012,Sony Pictures Releasing,166112167,2009/11/13,2009/12/31
Q4 1996,631,101 Dalmatians,Walt Disney Studios Motion Pictures,136189294,1996/11/27,1996/12/31
Q2 2014,9277,22 Jump Street,Sony Pictures Releasing,191719337,2014/6/13,2014/6/30
Q4 1990,76,3 Men and a Little Lady,Walt Disney Studios Motion Pictures,71609321,1990/11/21,1990/12/31
Q1 2004,2944,50 First Dates,Sony Pictures Releasing,120908074,2004/2/13,2004/3/31
Q4 2001,1691,A Beautiful Mind,Universal Pictures,170742341,2001/12/21,2001/12/31
Q4 1998,866,A Bug's Life,Walt Disney Studios Motion Pictures,157505918,1998/11/20,1998/12/31
Q4 1992,240,A Few Good Men,Columbia Pictures,141340178,1992/12/11,1992/12/31
Q4 2018,12244,A Star Is Born,Warner Bros.,215288866,2018/10/5,2018/12/31
Q1 1994,456,Ace Ventura: Pet Detective,Warner Bros.,72217396,1994/2/4,1994/3/31
Q4 1995,521,Ace Ventura: When Nature Calls,Warner Bros.,108385533,1995/11/10,1995/12/31
Q3 1997,742,Air Force One,Sony Pictures Releasing,172956409,1997/7/25,1997/9/30
Q1 2010,6632,Alice in Wonderland,Walt Disney Studios Motion Pictures,332430200,2010/3/5,2010/3/31
Q2 1992,242,Alien³,Twentieth Century Fox,55473545,1992/5/22,1992/6/30
Q4 1989,12,All Dogs Go to Heaven,United Artists,27100027,1989/11/17,1989/12/31
Q4 2007,4758,Alvin and the Chipmunks,Twentieth Century Fox,217313244,2007/12/14,2007/12/31
Q4 2009,6076,Alvin and the Chipmunks: The Squeakquel,Twentieth Century Fox,219553378,2009/12/23,2009/12/31
Q4 1989,13,Always,Universal Pictures,43858790,1989/12/22,1989/12/31
Q3 1999,1035,American Beauty,DreamWorks Distribution,130096601,1999/9/15,1999/9/30
Q3 2001,1626,American Pie 2,Universal Pictures,145103595,2001/8/10,2001/9/30
Q4 2014,9484,American Sniper,Warner Bros.,350126372,2014/12/25,2014/12/31
