,movie,studio,gross,release,season,time
0,Batman,Warner Bros.,251188924.0,1989-06-23,Q2 1989,1989-06-30
1,Indiana Jones and the Last Crusade,Paramount Pictures,197171806.0,1989-05-24,Q2 1989,1989-06-30
2,Ghostbusters II,Columbia Pictures,112494738.0,1989-06-16,Q2 1989,1989-06-30
3,Parenthood,Universal Pictures,100047830.0,1989-08-02,Q3 1989,1989-09-30
4,Back to the Future Part II,Universal Pictures,118450002.0,1989-11-22,Q4 1989,1989-12-31
5,Twins,Universal Pictures,111938388.0,1989-12-09,Q4 1989,1989-12-31
6,National Lampoon's Christmas Vacation,Warner Bros.,71319526.0,1989-12-01,Q4 1989,1989-12-31
7,Harlem Nights,Paramount Pictures,60864870.0,1989-11-17,Q4 1989,1989-12-31
8,The Little Mermaid,Walt Disney Studios Motion Pictures,84355863.0,1989-11-17,Q4 1989,1989-12-31
10,The War of the Roses,Twentieth Century Fox,86888546.0,1989-12-08,Q4 1989,1989-12-31
11,Tango & Cash,Warner Bros.,63408614.0,1989-12-22,Q4 1989,1989-12-31
12,All Dogs Go to Heaven,United Artists,27100027.0,1989-11-17,Q4 1989,1989-12-31
13,Always,Universal Pictures,43858790.0,1989-12-22,Q4 1989,1989-12-31
14,She-Devil,Orion Pictures,15351421.0,1989-12-08,Q4 1989,1989-12-31
15,Blaze,Walt Disney Studios Motion Pictures,19131246.0,1989-12-15,Q4 1989,1989-12-31
16,The Wizard,Universal Pictures,14278900.0,1989-12-15,Q4 1989,1989-12-31
18,We're No Angels,Paramount Pictures,10555348.0,1989-12-15,Q4 1989,1989-12-31
20,Beaches,Walt Disney Studios Motion Pictures,57041866.0,1989-12-23,Q4 1989,1989-12-31
21,Drugstore Cowboy,Avenue Pictures Productions,4729352.0,1989-10-06,Q4 1989,1989-12-31
22,Torch Song Trilogy,New Line Cinema,4865997.0,1989-12-16,Q4 1989,1989-12-31
23,A Dry White Season,Metro-Goldwyn-Mayer (MGM),3766879.0,1989-09-20,Q3 1989,1989-09-30
24,Working Girl,Twentieth Century Fox,63779477.0,1989-12-23,Q4 1989,1989-12-31
25,In Country,Warner Bros.,3531971.0,1989-09-15,Q3 1989,1989-09-30
26,Driving Miss Daisy,Warner Bros.,106593296.0,1989-12-15,Q4 1989,1989-12-31
27,Scenes from the Class Struggle in Beverly Hills,Cinecom Pictures,2156471.0,1989-06-02,Q2 1989,1989-06-30
28,Vincent: The Life and Death of Vincent Van Gogh,Roxie Releasing,1577480.0,1989-08-19,Q3 1989,1989-09-30
29,Gleaming the Cube,Twentieth Century Fox,2777280.0,1989-01-13,Q1 1989,1989-03-31
30,Heathers,New World Pictures,1108462.0,1989-03-31,Q1 1989,1989-03-31
31,Wired,Taurus Entertainment Company,1089000.0,1989-08-25,Q3 1989,1989-09-30
32,Miss Firecracker,Corsair Pictures,1852655.0,1989-04-28,Q2 1989,1989-06-30
33,Born on the Fourth of July,Universal Pictures,70001698.0,1989-12-22,Q4 1989,1989-12-31
34,Fright Night Part 2,New Century,2983784.0,1989-05-19,Q2 1989,1989-06-30
35,Mississippi Burning,Orion Pictures,34603943.0,1989-12-09,Q4 1989,1989-12-31
37,"Enemies, A Love Story",Twentieth Century Fox,7754571.0,1989-12-15,Q4 1989,1989-12-31
38,Romero,Four Seasons,1316495.0,1989-08-25,Q3 1989,1989-09-30
40,Erik the Viking,Orion Pictures,1932642.0,1989-09-22,Q3 1989,1989-09-30
42,"Distant Voices, Still Lives",Avenue Pictures Productions,688329.0,1989-07-28,Q3 1989,1989-09-30
43,Wuthering Heights,The Samuel Goldwyn Company,624643.0,1989-04-07,Q2 1989,1989-06-30
45,Roger & Me,Warner Bros.,6706368.0,1989-12-22,Q4 1989,1989-12-31
46,Another Woman,Orion Pictures,1562749.0,1989-10-14,Q4 1989,1989-12-31
47,Some Girls,Metro-Goldwyn-Mayer (MGM),401421.0,1989-09-09,Q3 1989,1989-09-30
48,The Music Teacher,Orion Classics,1086894.0,1989-07-07,Q3 1989,1989-09-30
49,High Hopes,Skouras Pictures,1192322.0,1989-02-24,Q1 1989,1989-03-31
50,Henry V,The Samuel Goldwyn Company,10161099.0,1989-11-08,Q4 1989,1989-12-31
52,Vampire's Kiss,Hemdale,725131.0,1989-06-02,Q2 1989,1989-06-30
53,Weapons of the Spirit,First Run,232981.0,1989-09-01,Q3 1989,1989-09-30
55,"Thelonious Monk: Straight, No Chaser",Warner Bros.,518918.0,1989-10-01,Q4 1989,1989-12-31
56,Camille Claudel,Orion Classics,3331297.0,1989-12-21,Q4 1989,1989-12-31
57,Paperhouse,Vestron Pictures,241278.0,1989-02-17,Q1 1989,1989-03-31
58,After Midnight,Metro-Goldwyn-Mayer (MGM),76325.0,1989-11-03,Q4 1989,1989-12-31
59,My Left Foot,Miramax,14743391.0,1989-11-10,Q4 1989,1989-12-31
61,For All Mankind,Apollo Associates,770132.0,1989-11-01,Q4 1989,1989-12-31
