movie,rank,gross,release,season
Batman,1,251188924.0,1989-06-23,2.0
Indiana Jones and the Last Crusade,2,197171806.0,1989-05-24,2.0
Ghostbusters II,3,112494738.0,1989-06-16,2.0
Parenthood,4,100047830.0,1989-08-02,3.0
Back to the Future Part II,5,118450002.0,1989-11-22,4.0
Home Alone,1,285761243.0,1990-11-16,4.0
Total Recall,2,119394840.0,1990-06-01,2.0
Back to the Future Part III,3,87727583.0,1990-05-25,2.0
Dances with Wolves,4,184208848.0,1990-11-09,4.0
3 Men and a Little Lady,5,71609321.0,1990-11-21,4.0
The Silence of the Lambs,2,130742922.0,1991-02-14,1.0
The Addams Family,3,113502426.0,1991-11-22,4.0
Backdraft,4,77868585.0,1991-05-24,2.0
Home Alone 2: Lost in New York,1,173585516.0,1992-11-20,4.0
Batman Returns,2,162831698.0,1992-06-19,2.0
The Bodyguard,4,121945720.0,1992-11-25,4.0
Unforgiven,5,101157447.0,1992-08-07,3.0
Jurassic Park,1,357067947.0,1993-06-11,2.0
The Fugitive,2,183403565.0,1993-08-06,3.0
Mrs. Doubtfire,3,219195243.0,1993-11-24,4.0
In the Line of Fire,4,102314823.0,1993-07-09,3.0
The Flintstones,1,130531208.0,1994-05-27,2.0
The Santa Clause,2,144833357.0,1994-11-11,4.0
Interview with the Vampire: The Vampire Chronicles,3,105264608.0,1994-11-11,4.0
Schindler's List,4,96065768.0,1994-12-15,4.0
Star Trek Generations,5,75671125.0,1994-11-18,4.0
Batman Forever,1,184031112.0,1995-06-16,2.0
Apollo 13,2,172071312.0,1995-06-30,2.0
Toy Story,3,191796233.0,1995-11-22,4.0
Ace Ventura: When Nature Calls,4,108385533.0,1995-11-10,4.0
Casper,5,100328194.0,1995-05-26,2.0
Independence Day,1,306169268.0,1996-07-03,3.0
Mission: Impossible,2,180981856.0,1996-05-22,2.0
The Nutty Professor,3,128814019.0,1996-06-28,2.0
The Rock,4,134069511.0,1996-06-07,2.0
Ransom,5,136492681.0,1996-11-08,4.0
Men in Black,1,250690539.0,1997-07-02,3.0
The Lost World: Jurassic Park,2,229086679.0,1997-05-23,2.0
Liar Liar,3,181410615.0,1997-03-21,1.0
Air Force One,4,172956409.0,1997-07-25,3.0
Titanic,5,600788188.0,1997-12-19,4.0
Titanic,1,600788188.0,1998-12-19,4.0
Armageddon,2,201578182.0,1998-07-01,3.0
Saving Private Ryan,3,216540909.0,1998-07-24,3.0
Deep Impact,4,140464664.0,1998-05-08,2.0
Godzilla,5,136314294.0,1998-05-20,2.0
Star Wars: Episode I - The Phantom Menace,1,431088295.0,1999-05-19,2.0
The Sixth Sense,2,293506292.0,1999-08-06,3.0
Toy Story 2,3,242947795.0,1999-11-19,4.0
The Matrix,4,171479930.0,1999-03-31,1.0
Big Daddy,5,163479795.0,1999-06-25,2.0
How the Grinch Stole Christmas,1,260044825.0,2000-11-17,4.0
Mission: Impossible II,2,215409889.0,2000-05-24,2.0
Gladiator,3,187705427.0,2000-05-05,2.0
The Perfect Storm,4,182618434.0,2000-06-30,2.0
Meet the Parents,5,166244045.0,2000-10-06,4.0
Harry Potter and the Sorcerer's Stone,1,317575550.0,2001-11-16,4.0
Shrek,2,267665011.0,2001-05-16,2.0
"Monsters, Inc.",3,255284677.0,2001-11-02,4.0
Rush Hour 2,4,226164286.0,2001-08-03,3.0
The Mummy Returns,5,202019785.0,2001-05-04,2.0
