season,Unnamed: 0,movie,studio,gross,release,time
Q1 1990,91,Cinema Paradiso,Miramax,11990401.0,1990-02-02,1990-03-31
Q1 1990,94,Pretty Woman,Walt Disney Studios Motion Pictures,178406268.0,1990-03-23,1990-03-31
Q1 1990,101,Joe Versus the Volcano,Warner Bros.,39404261.0,1990-03-09,1990-03-31
Q1 1990,102,Streets,Concorde Pictures,1510053.0,1990-01-19,1990-03-31
Q1 1990,107,Body Chemistry,Concorde Pictures,2415312.0,1990-03-09,1990-03-31
Q1 1990,111,Too Beautiful for You,Orion Classics,1776440.0,1990-03-02,1990-03-31
Q1 1990,125,Coupe de Ville,Universal Pictures,715983.0,1990-03-09,1990-03-31
Q1 1990,136,Spontaneous Combustion,Taurus Entertainment Company,50367.0,1990-02-23,1990-03-31
Q2 1990,73,Total Recall,Sony Pictures Releasing,119394840.0,1990-06-01,1990-06-30
Q2 1990,74,Back to the Future Part III,Universal Pictures,87727583.0,1990-05-25,1990-06-30
Q2 1990,98,"The Cook, the Thief, His Wife & Her Lover",Miramax,7724701.0,1990-04-06,1990-06-30
Q2 1990,99,Longtime Companion,The Samuel Goldwyn Company,4609953.0,1990-05-11,1990-06-30
Q2 1990,103,The Guardian,Universal Pictures,17037887.0,1990-04-27,1990-06-30
Q2 1990,106,Def by Temptation,Troma,2218579.0,1990-05-11,1990-06-30
Q2 1990,112,May Fools,Orion Classics,1576702.0,1990-06-22,1990-06-30
Q2 1990,118,Monsieur Hire,Orion Classics,1417030.0,1990-04-20,1990-06-30
Q2 1990,121,Jesus of Montreal,Orion Classics,1601612.0,1990-05-25,1990-06-30
Q2 1990,127,Martians Go Home,Taurus Entertainment Company,129778.0,1990-04-20,1990-06-30
Q2 1990,131,A Show of Force,Paramount Pictures,91578.0,1990-05-11,1990-06-30
Q2 1990,142,Red Surf,Academy Entertainment,13136.0,1990-06-01,1990-06-30
Q2 1990,144,The Feud,Castle Hill Productions,3102.0,1990-05-04,1990-06-30
Q3 1990,78,Goodfellas,Warner Bros.,46836214.0,1990-09-19,1990-09-30
Q3 1990,93,Parenthood,Universal Pictures,100047830.0,1990-08-02,1990-09-30
Q3 1990,105,King of New York,New Line Cinema,2554476.0,1990-09-28,1990-09-30
Q3 1990,109,The Icicle Thief,Aries Films,1231622.0,1990-08-24,1990-09-30
Q3 1990,120,State of Grace,Orion Pictures,1911542.0,1990-09-14,1990-09-30
Q3 1990,126,The Tall Guy,Miramax,510712.0,1990-09-21,1990-09-30
Q3 1990,128,Apartment Zero,Skouras Pictures,1267578.0,1990-09-15,1990-09-30
Q3 1990,140,Fools of Fortune,New Line Cinema,83490.0,1990-09-14,1990-09-30
Q4 1990,72,Home Alone,Twentieth Century Fox,285761243.0,1990-11-16,1990-12-31
Q4 1990,75,Dances with Wolves,Orion Pictures,184208848.0,1990-11-09,1990-12-31
Q4 1990,76,3 Men and a Little Lady,Walt Disney Studios Motion Pictures,71609321.0,1990-11-21,1990-12-31
Q4 1990,77,Misery,Columbia Pictures,61276872.0,1990-11-30,1990-12-31
Q4 1990,79,Kindergarten Cop,Universal Pictures,91457688.0,1990-12-22,1990-12-31
Q4 1990,81,Edward Scissorhands,Twentieth Century Fox,56362352.0,1990-12-07,1990-12-31
Q4 1990,82,Back to the Future Part II,Universal Pictures,118450002.0,1990-11-22,1990-12-31
Q4 1990,83,The Rescuers Down Under,Walt Disney Studios Motion Pictures,27931461.0,1990-11-16,1990-12-31
Q4 1990,84,The Rookie,Warner Bros.,21633874.0,1990-12-07,1990-12-31
Q4 1990,85,Mermaids,Orion Pictures,35419397.0,1990-12-14,1990-12-31
Q4 1990,86,My Left Foot,Miramax,14743391.0,1990-11-10,1990-12-31
Q4 1990,87,The Russia House,Metro-Goldwyn-Mayer (MGM),22997992.0,1990-12-22,1990-12-31
Q4 1990,88,The Bonfire of the Vanities,Warner Bros.,15691192.0,1990-12-22,1990-12-31
Q4 1990,89,Havana,Universal Pictures,9243140.0,1990-12-14,1990-12-31
Q4 1990,90,The Godfather: Part III,Paramount Pictures,66666062.0,1990-12-25,1990-12-31
Q4 1990,92,Almost an Angel,Paramount Pictures,6939946.0,1990-12-22,1990-12-31
Q4 1990,96,Driving Miss Daisy,Warner Bros.,106593296.0,1990-12-15,1990-12-31
Q4 1990,97,Henry V,The Samuel Goldwyn Company,10161099.0,1990-11-08,1990-12-31
Q4 1990,104,Awakenings,Columbia Pictures,52096475.0,1990-12-22,1990-12-31
Q4 1990,108,To Sleep with Anger,The Samuel Goldwyn Company,1161135.0,1990-10-12,1990-12-31
Q4 1990,110,Camille Claudel,Orion Classics,3331297.0,1990-12-21,1990-12-31
Q4 1990,113,C'est la vie,The Samuel Goldwyn Company,805472.0,1990-11-02,1990-12-31
Q4 1990,114,The Hot Spot,Orion Pictures,1293976.0,1990-10-12,1990-12-31
Q4 1990,115,Hamlet,Warner Bros.,20710451.0,1990-12-22,1990-12-31
Q4 1990,116,The Sheltering Sky,Warner Bros.,2075084.0,1990-12-14,1990-12-31
Q4 1990,119,Alice,Orion Pictures,7331647.0,1990-12-25,1990-12-31
Q4 1990,122,For All Mankind,Apollo Associates,770132.0,1990-11-01,1990-12-31
Q4 1990,123,Green Card,Walt Disney Studios Motion Pictures,29888235.0,1990-12-25,1990-12-31
Q4 1990,124,Come See the Paradise,Twentieth Century Fox,947306.0,1990-12-25,1990-12-31
Q4 1990,129,The Grifters,Miramax,13446769.0,1990-12-07,1990-12-31
Q4 1990,130,Mr. & Mrs. Bridge,Miramax,7698010.0,1990-11-23,1990-12-31
Q4 1990,132,Hidden Agenda,Hemdale,1030938.0,1990-11-21,1990-12-31
Q4 1990,133,The Field,Avenue Pictures Productions,1494399.0,1990-12-22,1990-12-31
Q4 1990,134,Triumph of the Spirit,Triumph Releasing Corporation,408839.0,1990-12-08,1990-12-31
Q4 1990,135,The Long Walk Home,Miramax,4873620.0,1990-12-22,1990-12-31
Q4 1990,137,The Spirit of '76,Columbia Pictures,52310.0,1990-10-12,1990-12-31
Q4 1990,138,Vincent & Theo,Hemdale,2231274.0,1990-11-02,1990-12-31
Q4 1990,139,The Nasty Girl,Miramax,2281569.0,1990-10-26,1990-12-31
Q4 1990,141,Eating,Rainbow Releasing,2100538.0,1990-11-16,1990-12-31
Q4 1990,143,Diamond's Edge,Castle Hill Productions,12751.0,1990-11-30,1990-12-31
