season,Unnamed: 0,movie,studio,gross,release,time
Q1 2005,3538,Hitch,Sony Pictures Releasing,179495555.0,2005-02-11,2005-03-31
Q1 2005,3544,Robots,Twentieth Century Fox,128200012.0,2005-03-11,2005-03-31
Q1 2005,3546,The Pacifier,Walt Disney Studios Motion Pictures,109151000.0,2005-03-04,2005-03-31
Q1 2005,3551,Are We There Yet?,Revolution Studios,82674398.0,2005-01-21,2005-03-31
Q1 2005,3554,The Ring Two,DreamWorks Distribution,76231249.0,2005-03-18,2005-03-31
Q1 2005,3555,Constantine,Warner Bros.,75976178.0,2005-02-18,2005-03-31
Q1 2005,3559,Guess Who,Sony Pictures Releasing,68915888.0,2005-03-25,2005-03-31
Q1 2005,3561,Coach Carter,Paramount Pictures,67264877.0,2005-01-14,2005-03-31
Q1 2005,3569,White Noise,Universal Pictures,56386759.0,2005-01-07,2005-03-31
Q1 2005,3570,Be Cool,Metro-Goldwyn-Mayer (MGM),56046979.0,2005-03-04,2005-03-31
Q1 2005,3575,Hide and Seek,Twentieth Century Fox,51088333.0,2005-01-28,2005-03-31
Q1 2005,3579,Racing Stripes,Warner Bros.,49772522.0,2005-01-14,2005-03-31
Q1 2005,3580,Diary of a Mad Black Woman,Lionsgate,50633099.0,2005-02-25,2005-03-31
Q1 2005,3582,Miss Congeniality 2: Armed & Fabulous,Warner Bros.,48478006.0,2005-03-24,2005-03-31
Q1 2005,3586,Boogeyman,Screen Gems,46752382.0,2005-02-04,2005-03-31
Q1 2005,3596,Beauty Shop,Metro-Goldwyn-Mayer (MGM),36351350.0,2005-03-30,2005-03-31
Q1 2005,3603,Because of Winn-Dixie,Twentieth Century Fox,32617187.0,2005-02-18,2005-03-31
Q1 2005,3606,The Wedding Date,Universal Pictures,31726995.0,2005-02-04,2005-03-31
Q1 2005,3620,Elektra,Twentieth Century Fox,24409722.0,2005-01-14,2005-03-31
Q1 2005,3627,Ice Princess,Walt Disney Studios Motion Pictures,22501599.0,2005-03-18,2005-03-31
Q1 2005,3634,Man of the House,Sony Pictures Releasing,19699706.0,2005-02-25,2005-03-31
Q1 2005,3641,Pooh's Heffalump Movie,Walt Disney Studios Motion Pictures,17229670.0,2005-02-11,2005-03-31
Q1 2005,3666,Bugs!,SK Films,19062359.0,2005-03-12,2005-03-31
Q1 2005,3667,Millions,Fox Searchlight Pictures,6572419.0,2005-03-11,2005-03-31
Q1 2005,3669,The Jacket,Warner Independent Pictures (WIP),6303762.0,2005-03-04,2005-03-31
Q1 2005,3673,Alone in the Dark,Lionsgate,5178569.0,2005-01-28,2005-03-31
Q1 2005,3683,Melinda and Melinda,Fox Searchlight Pictures,3803268.0,2005-03-18,2005-03-31
Q1 2005,3692,Aliens of the Deep,Walt Disney Studios Motion Pictures,8961527.0,2005-01-28,2005-03-31
Q1 2005,3696,Walk on Water,IDP Distribution,2713932.0,2005-03-04,2005-03-31
Q1 2005,3700,Assault on Precinct 13,Rogue Pictures,16643000.0,2005-01-19,2005-03-31
Q1 2005,3715,Son of the Mask,New Line Cinema,9100115.0,2005-02-18,2005-03-31
Q1 2005,3717,The Chorus2005 Re-release,Miramax,1548036.0,2005-01-14,2005-03-31
Q1 2005,3755,The Ballad of Jack and Rose,IFC Films,712275.0,2005-03-25,2005-03-31
Q1 2005,3756,Inside Deep Throat,Universal Pictures,691880.0,2005-02-11,2005-03-31
Q1 2005,3764,Gunner Palace,Palm Pictures,607844.0,2005-03-04,2005-03-31
Q1 2005,3765,Schultze Gets the Blues,Paramount Classics,595071.0,2005-02-18,2005-03-31
Q1 2005,3768,NASCAR: The IMAX Experience,Warner Bros.,21583831.0,2005-03-12,2005-03-31
Q1 2005,3772,Travelers and Magicians,Zeitgeist Films,506793.0,2005-01-07,2005-03-31
Q1 2005,3778,Steamboy,Triumph Releasing Corporation,468867.0,2005-03-18,2005-03-31
Q1 2005,3783,Head-On,Strand Releasing,435395.0,2005-01-21,2005-03-31
Q1 2005,3809,Dot the I,Freestyle Releasing,304211.0,2005-03-11,2005-03-31
Q1 2005,3811,The Upside of Anger,New Line Cinema,18126000.0,2005-03-11,2005-03-31
Q1 2005,3817,The Best of Youth,Miramax,274024.0,2005-03-02,2005-03-31
Q1 2005,3822,Up and Down,Sony Pictures Classics,245127.0,2005-02-25,2005-03-31
Q1 2005,3826,Nina's Tragedies,Wellspring Media,238831.0,2005-03-25,2005-03-31
Q1 2005,3831,Mondovino,THINKFilm,209618.0,2005-03-23,2005-03-31
Q1 2005,3833,Bewafaa,Eros International,670076.0,2005-02-25,2005-03-31
Q1 2005,3842,In My Country,Sony Pictures Classics,163893.0,2005-03-11,2005-03-31
Q1 2005,3848,Kisna: The Warrior Poet,Eros International,147000.0,2005-01-21,2005-03-31
Q1 2005,3852,Ong-Bak: The Thai Warrior,Magnolia Pictures,2814161.0,2005-02-11,2005-03-31
Q1 2005,3864,D.E.B.S.,IDP Distribution,97446.0,2005-03-25,2005-03-31
Q1 2005,3871,Appleseed,Geneon Entertainment,79818.0,2005-01-14,2005-03-31
Q1 2005,3874,The Nomi Song,Palm Pictures,74631.0,2005-02-04,2005-03-31
Q1 2005,3888,Bride & Prejudice,Miramax,882610.0,2005-02-11,2005-03-31
Q1 2005,3892,Swimming Upstream2004 Re-release,Metro-Goldwyn-Mayer (MGM),54965.0,2005-02-04,2005-03-31
Q1 2005,3893,Masculin Féminin,Rialto Pictures,199034.0,2005-02-11,2005-03-31
Q1 2005,3901,Raging Bull25th Anniversary,Metro-Goldwyn-Mayer (MGM),49034.0,2005-01-28,2005-03-31
Q1 2005,3903,Blackball2005 Re-release,First Look International,48000.0,2005-02-11,2005-03-31
Q1 2005,3909,Intimate Stories,New Yorker Films,102214.0,2005-03-04,2005-03-31
Q1 2005,3921,The Other Side of the Street,Strand Releasing,55225.0,2005-02-25,2005-03-31
Q1 2005,3922,Lost Embrace,New Yorker Films,190860.0,2005-01-28,2005-03-31
Q1 2005,3940,Monsieur N.2004 Re-release,Empire Pictures Inc.,36413.0,2005-01-22,2005-03-31
Q1 2005,3942,Machuca,Menemsha Films,26676.0,2005-01-19,2005-03-31
Q1 2005,3950,Bigger Than the Sky,Metro-Goldwyn-Mayer (MGM),21398.0,2005-02-18,2005-03-31
Q1 2005,3954,Beautiful Boxer,Regent Releasing,133721.0,2005-01-21,2005-03-31
Q1 2005,3960,Sunset Story,Vitagraph Films,17508.0,2005-02-25,2005-03-31
