season,studio,gross
Q1 1989,Alive Films,68765.0
Q1 1989,Island Pictures,315421.0
Q1 1989,New Line Cinema,4564.0
Q1 1989,New World Pictures,1108462.0
Q1 1989,Skouras Pictures,1192322.0
Q1 1989,Twentieth Century Fox,2777280.0
Q1 1989,Vestron Pictures,241278.0
Q1 1989,Warner Bros.,283747.0
Q1 1990,Concorde Pictures,3925365.0
Q1 1990,Miramax,11990401.0
Q1 1990,Orion Classics,1776440.0
Q1 1990,Taurus Entertainment Company,50367.0
Q1 1990,Universal Pictures,715983.0
Q1 1990,Walt Disney Studios Motion Pictures,178406268.0
Q1 1990,Warner Bros.,39404261.0
Q1 1991,Avenue Pictures Productions,1464242.0
Q1 1991,Cinecom Pictures,739104.0
Q1 1991,Concorde Pictures,1159578.0
Q1 1991,Miramax,2342510.0
Q1 1991,Orion Classics,123470.0
Q1 1991,Orion Pictures,130742922.0
Q1 1991,Paramount Pictures,418807.0
Q1 1991,Skouras Pictures,1244381.0
Q1 1991,The Samuel Goldwyn Company,5017971.0
Q1 1992,Cannon Film Distributors,215500.0
Q1 1992,Columbia Pictures,221295.0
Q1 1992,Concorde Pictures,35154.0
Q1 1992,Fine Line Features,2622139.0
Q1 1992,Miramax,269823.0
Q1 1992,Orion Classics,2603061.0
Q1 1992,Paramount Pictures,121697323.0
Q1 1992,Sony Pictures Classics,25966555.0
Q1 1992,The Samuel Goldwyn Company,922872.0
Q1 1993,Columbia Pictures,70906973.0
Q1 1993,Fine Line Features,78144.0
Q1 1993,Kino International,799856.0
Q1 1993,Miramax,12428988.0
Q1 1993,Roxie Releasing,205569.0
Q1 1993,Sony Pictures Classics,25966555.0
Q1 1993,Strand Releasing,3514.0
Q1 1993,The Samuel Goldwyn Company,970717.0
Q1 1993,Trimark Pictures,242623.0
Q1 1993,Two Moon Releasing,10535.0
Q1 1993,Warner Bros.,40903593.0
Q1 1994,Columbia Pictures,10424645.0
Q1 1994,Dimension Films,3411885.0
Q1 1994,Fine Line Features,1862805.0
Q1 1994,First Run,22692.0
Q1 1994,Gramercy Pictures (I),55976417.0
Q1 1994,Kino International,449707.0
Q1 1994,Miramax,7770731.0
Q1 1994,New Line Cinema,16696219.0
Q1 1994,October Films,322975.0
Q1 1994,Paramount Pictures,21355893.0
Q1 1994,Roxie Releasing,2502551.0
Q1 1994,Universal Pictures,59806898.0
Q1 1994,Walt Disney Studios Motion Pictures,30577969.0
Q1 1994,Warner Bros.,72646264.0
Q1 1995,Castle Hill Productions,527034.0
Q1 1995,First Look International,6159269.0
Q1 1995,Miramax,20689961.0
Q1 1995,Orion Classics,573953.0
Q1 1995,Sony Pictures Classics,91874.0
Q1 1995,The Samuel Goldwyn Company,766464.0
Q1 1995,Walt Disney Studios Motion Pictures,3005936.0
Q1 1996,First Look International,4228275.0
Q1 1996,Gramercy Pictures (I),228800.0
Q1 1996,Miramax,15074112.0
Q1 1996,Sony Pictures Classics,3328483.0
Q1 1996,Sony Pictures Releasing,21862847.0
Q1 1996,Strand Releasing,78072.0
Q1 1996,Warner Bros.,56569216.0
Q1 1997,Artistic License,140000.0
Q1 1997,First Look International,50789.0
Q1 1997,Fox Searchlight Pictures,2667115.0
Q1 1997,Gramercy Pictures (I),25028376.0
Q1 1997,Miramax,5839687.0
Q1 1997,Orion Classics,790078.0
Q1 1997,Sony Pictures Classics,2923982.0
Q1 1997,Sony Pictures Releasing,81649415.0
Q1 1997,Strand Releasing,532654.0
Q1 1997,Trimark Pictures,4109095.0
Q1 1997,Twentieth Century Fox,138257865.0
Q1 1997,Universal Pictures,181410615.0
Q1 1998,Artisan Entertainment,214661.0
Q1 1998,Gramercy Pictures (I),222099.0
Q1 1998,MacGillivray Freeman Films,87178599.0
Q1 1998,Metro-Goldwyn-Mayer (MGM),98973.0
Q1 1998,Miramax,3970078.0
Q1 1998,New Line Cinema,125397.0
Q1 1998,Paramount Pictures,19954055.0
Q1 1998,PolyGram,1677131.0
Q1 1998,Roxie Releasing,668228.0
Q1 1998,Sony Pictures Classics,890113.0
Q1 1998,Sony Pictures Releasing,64441129.0
Q1 1998,Strand Releasing,205246.0
Q1 1998,Trimark Pictures,181233.0
Q1 1998,United Artists,375634.0
Q1 1998,Universal Pictures,39001187.0
Q1 1998,Walt Disney Studios Motion Pictures,11203026.0
Q1 1998,Warner Bros.,30231281.0
Q1 1998,Wellspring Media,211.0
Q1 1999,Alliance Atlantis Vivafilm,227374.0
Q1 1999,Artisan Entertainment,464487.0
Q1 1999,Artistic License,256780.0
Q1 1999,Cowboy Pictures,29480.0
Q1 1999,DreamWorks Distribution,64918049.0
Q1 1999,Eros International,197895.0
Q1 1999,Lionsgate,316043.0
Q1 1999,MacGillivray Freeman Films,87178599.0
Q1 1999,Miramax,67581928.0
Q1 1999,New Yorker Films,15207.0
Q1 1999,October Films,421432.0
Q1 1999,Paramount Pictures,59746619.0
Q1 1999,Shadow Distribution,783.0
Q1 1999,Sony Pictures Classics,1897948.0
Q1 1999,Sony Pictures Releasing,75036246.0
Q1 1999,Strand Releasing,23484.0
Q1 1999,Twentieth Century Fox,4390.0
Q1 1999,Universal Pictures,32570685.0
Q1 1999,Walt Disney Studios Motion Pictures,36850101.0
Q1 1999,Warner Bros.,171479930.0
Q1 2000,Artisan Entertainment,18661336.0
Q1 2000,Cowboy Pictures,1712385.0
Q1 2000,Destination Films,16500786.0
Q1 2000,Dimension Films,89143175.0
Q1 2000,DreamWorks Distribution,50863742.0
Q1 2000,Eros International,1398506.0
Q1 2000,Fine Line Features,1703897.0
Q1 2000,Kino International,736812.0
Q1 2000,MacGillivray Freeman Films,87178599.0
Q1 2000,Miramax,43438003.0
Q1 2000,Monarch,1590.0
Q1 2000,New Line Cinema,74299184.0
Q1 2000,Paramount Pictures,94404246.0
Q1 2000,Phaedra Cinema,29245.0
Q1 2000,Seventh Art Releasing,50715.0
Q1 2000,Shooting Gallery,61236.0
Q1 2000,Sony Pictures Classics,849096.0
Q1 2000,Sony Pictures Releasing,44840274.0
Q1 2000,Strand Releasing,4224.0
Q1 2000,Trimark Pictures,264292.0
Q1 2000,Twentieth Century Fox,10522168.0
Q1 2000,USA Films,39511404.0
Q1 2000,Universal Pictures,163603790.0
Q1 2000,Walt Disney Studios Motion Pictures,194629287.0
Q1 2000,Warner Bros.,119150819.0
Q1 2001,Avatar Films,370562.0
Q1 2001,Castle Hill Productions,14725.0
Q1 2001,DreamWorks Distribution,66845033.0
Q1 2001,Eros International,57188.0
Q1 2001,Fine Line Features,77578.0
Q1 2001,Focus Features,687194.0
Q1 2001,IDP Distribution,40861.0
Q1 2001,IFC Films,373366.0
Q1 2001,IMAX,1785866.0
Q1 2001,Kino International,2487878.0
Q1 2001,Lionsgate,8335785.0
Q1 2001,Metro-Goldwyn-Mayer (MGM),205428875.0
Q1 2001,Miramax,112719001.0
Q1 2001,Newmarket Films,25544867.0
Q1 2001,Paramount Pictures,226038823.0
Q1 2001,Revolution Studios,11946739.0
Q1 2001,Screen Gems,27419939.0
Q1 2001,Social Media Productions,6123.0
Q1 2001,Sony Pictures Classics,323923.0
Q1 2001,Sony Pictures Releasing,73200939.0
Q1 2001,Strand Releasing,33842.0
Q1 2001,Twentieth Century Fox,27343067.0
Q1 2001,Universal Pictures,10424470.0
Q1 2001,Walt Disney Studios Motion Pictures,126453342.0
Q1 2001,Warner Bros.,152777747.0
Q1 2001,WinStar Cinema,362809.0
Q1 2002,Artisan Entertainment,4245870.0
Q1 2002,Christal Films,184441.0
Q1 2002,Cowboy Pictures,247589.0
Q1 2002,DreamWorks Distribution,56832494.0
Q1 2002,Empire Pictures Inc.,23371.0
Q1 2002,Fox Searchlight Pictures,25518084.0
Q1 2002,IDP Distribution,98452.0
Q1 2002,IMAX,1785866.0
Q1 2002,Kino International,135280.0
Q1 2002,Lionsgate,2106838.0
Q1 2002,Menemsha Films,1745778.0
Q1 2002,Metro-Goldwyn-Mayer (MGM),38068439.0
Q1 2002,Miramax,50394914.0
Q1 2002,New Line Cinema,180021440.0
Q1 2002,Outrider Pictures,344992.0
Q1 2002,Palm Pictures,289885.0
Q1 2002,Paramount Classics,299171.0
Q1 2002,Paramount Pictures,202688139.0
Q1 2002,Rialto Pictures,215446.0
Q1 2002,Screen Gems,75866079.0
Q1 2002,Sony Pictures Classics,2469420.0
Q1 2002,Sony Pictures Releasing,101683275.0
Q1 2002,THINKFilm,448542.0
Q1 2002,Twentieth Century Fox,192425367.0
Q1 2002,Universal Pictures,127121083.0
Q1 2002,Walt Disney Studios Motion Pictures,291559835.0
Q1 2002,Warner Bros.,158142552.0
Q1 2002,Wellspring Media,195760.0
Q1 2002,Zeitgeist Films,238260.0
Q1 2003,Artisan Entertainment,405331.0
Q1 2003,Artistic License,2199.0
Q1 2003,Balcony Releasing,8858.0
Q1 2003,Castle Hill Productions,3456.0
Q1 2003,Christal Films,250000.0
Q1 2003,Cinema Four,9446.0
Q1 2003,Cinema Tropical,29222.0
Q1 2003,Cowboy Pictures,261000.0
Q1 2003,DreamWorks Distribution,135643269.0
Q1 2003,Emerging Pictures,1440.0
Q1 2003,Eros International,406205.0
Q1 2003,Films Philos,182129.0
Q1 2003,First Look International,58156.0
Q1 2003,First Run,4756.0
Q1 2003,Focus Features,17547403.0
Q1 2003,Fox Searchlight Pictures,32536584.0
Q1 2003,IDP Distribution,2078661.0
Q1 2003,IFC Films,313917.0
Q1 2003,Indican Pictures,60000.0
Q1 2003,Kino International,319240.0
Q1 2003,Lionsgate,811971.0
Q1 2003,Metro-Goldwyn-Mayer (MGM),63483761.0
Q1 2003,Miracle Film Distribution,8018.0
Q1 2003,Miramax,20409562.0
Q1 2003,New Line Cinema,53847303.0
Q1 2003,New Yorker Films,247542.0
Q1 2003,Newmarket Films,187227.0
Q1 2003,Palm Pictures,23124.0
Q1 2003,Panorama Entertainment,1023156.0
Q1 2003,Paramount Classics,120601.0
Q1 2003,Paramount Pictures,171242477.0
Q1 2003,Revolution Studios,76286272.0
Q1 2003,Sony Pictures Classics,1149444.0
Q1 2003,Sony Pictures Releasing,63174497.0
Q1 2003,Strand Releasing,57241.0
Q1 2003,Tidepoint Pictures,4608.0
Q1 2003,Tips,352128.0
Q1 2003,Twentieth Century Fox,158629439.0
Q1 2003,United Artists,10263573.0
Q1 2003,Universal Pictures,23051104.0
Q1 2003,Walt Disney Studios Motion Pictures,310985230.0
Q1 2003,Warner Bros.,148245680.0
Q1 2003,Wellspring Media,162885.0
Q1 2003,Zeitgeist Films,6186622.0
Q1 2004,Alliance Atlantis Vivafilm,1911069.0
Q1 2004,ArtMattan Productions,52806.0
Q1 2004,Artistic License,113622.0
Q1 2004,Avatar Films,10888.0
Q1 2004,Christal Films,1352489.0
Q1 2004,Cinema Four,9791.0
Q1 2004,DreamWorks Distribution,34843349.0
Q1 2004,Emerging Pictures,254719.0
Q1 2004,Empire Pictures Inc.,91609.0
Q1 2004,Eros International,587877.0
Q1 2004,Film Movement,13000.0
Q1 2004,Films Philos,182129.0
Q1 2004,First Look International,257315.0
Q1 2004,First Run,148916.0
Q1 2004,Focus Features,34444005.0
Q1 2004,Fox Searchlight Pictures,13067898.0
Q1 2004,IDP Distribution,129560.0
Q1 2004,IFC Films,5841826.0
Q1 2004,ISA Releasing,43035.0
Q1 2004,Icarus Films,29345.0
Q1 2004,Indican Pictures,255160.0
Q1 2004,Kino International,570174.0
Q1 2004,Lantern Lane Entertainment,97362.0
Q1 2004,Leisure Time Features,3290.0
Q1 2004,Lionsgate,111165.0
Q1 2004,MAC Releasing,16201.0
Q1 2004,Magnolia Pictures,125358.0
Q1 2004,Metro-Goldwyn-Mayer (MGM),88741436.0
Q1 2004,Milestone,3733.0
Q1 2004,Miramax,47460767.0
Q1 2004,Mongrel Media,1608665.0
Q1 2004,New Line Cinema,49396348.0
Q1 2004,New Yorker Films,161254.0
Q1 2004,Newmarket Films,369895388.0
Q1 2004,Organic Pictures,2517.0
Q1 2004,Palm Pictures,65213.0
Q1 2004,Panorama Entertainment,1023156.0
Q1 2004,Paramount Classics,257252.0
Q1 2004,Paramount Pictures,41473791.0
Q1 2004,Rialto Pictures,820483.0
Q1 2004,SK Films,19062359.0
Q1 2004,Screen Gems,40363810.0
Q1 2004,Sony Pictures Classics,2354559.0
Q1 2004,Sony Pictures Releasing,168930974.0
Q1 2004,Sony Pictures Repertory,143121.0
Q1 2004,THINKFilm,352163.0
Q1 2004,Tag Entertainment,2462.0
Q1 2004,The Cinema Guild,71813.0
Q1 2004,Twentieth Century Fox,31116576.0
Q1 2004,United Artists,1270904.0
Q1 2004,Universal Pictures,147118121.0
Q1 2004,Vitagraph Films,6028.0
Q1 2004,Walt Disney Studios Motion Pictures,202875065.0
Q1 2004,Warner Bros.,271055353.0
Q1 2004,Wellspring Media,148959.0
Q1 2004,Zeitgeist Films,149211.0
Q1 2005,Arab Film Distribution,1479.0
Q1 2005,ArtMattan Productions,52806.0
Q1 2005,Castle Hill Productions,1718.0
Q1 2005,Cockeyed Caravan,12340.0
Q1 2005,DreamWorks Distribution,76231249.0
Q1 2005,Empire Pictures Inc.,36413.0
Q1 2005,Eros International,817076.0
Q1 2005,First Look International,48000.0
Q1 2005,Fox Searchlight Pictures,10375687.0
Q1 2005,Freestyle Releasing,304211.0
Q1 2005,Geneon Entertainment,79818.0
Q1 2005,HB Filmworks,3252.0
Q1 2005,High Cotton Films,11975.0
Q1 2005,IDP Distribution,2811378.0
Q1 2005,IFC Films,712275.0
Q1 2005,Indican Pictures,264856.0
Q1 2005,Kino International,258079.0
Q1 2005,Koch Lorber Films,22037.0
Q1 2005,Leisure Time Features,1870.0
Q1 2005,Lionsgate,55811668.0
Q1 2005,Lumiere Productions,1884.0
Q1 2005,Magnolia Pictures,2814161.0
Q1 2005,Menemsha Films,26676.0
Q1 2005,Metro-Goldwyn-Mayer (MGM),92540396.0
Q1 2005,Miramax,2704670.0
Q1 2005,New Line Cinema,27226115.0
Q1 2005,New Yorker Films,427310.0
Q1 2005,Newmarket Films,389401.0
Q1 2005,Palm Pictures,682475.0
Q1 2005,Paramount Classics,595071.0
Q1 2005,Paramount Pictures,67264877.0
Q1 2005,Regent Releasing,162494.0
Q1 2005,Revolution Studios,82674398.0
Q1 2005,Rialto Pictures,199034.0
Q1 2005,Rogue Pictures,16643000.0
Q1 2005,Romar Entertainment,3700.0
Q1 2005,SK Films,19062359.0
Q1 2005,Screen Gems,46752382.0
Q1 2005,Silver Plane Films,10629.0
