,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
43,Q2 1989,0.0,Batman,Warner Bros.,251188924.0,1989/6/23,1989/6/30,Q2,1989
173,Q2 1989,1.0,Indiana Jones and the Last Crusade,Paramount Pictures,197171806.0,1989/5/24,1989/6/30,Q2,1989
38,Q4 1989,4.0,Back to the Future Part II,Universal Pictures,118450002.0,1989/11/22,1989/12/31,Q4,1989
125,Q2 1989,2.0,Ghostbusters II,Columbia Pictures,112494738.0,1989/6/16,1989/6/30,Q2,1989
429,Q4 1989,5.0,Twins,Universal Pictures,111938388.0,1989/12/9,1989/12/31,Q4,1989
259,Q1 1990,94.0,Pretty Woman,Walt Disney Studios Motion Pictures,178406268.0,1990/3/23,1990/3/31,Q1,1990
155,Q4 1990,72.0,Home Alone,Twentieth Century Fox,285761243.0,1990/11/16,1990/12/31,Q4,1990
417,Q2 1990,73.0,Total Recall,Sony Pictures Releasing,119394840.0,1990/6/1,1990/6/30,Q2,1990
85,Q4 1990,75.0,Dances with Wolves,Orion Pictures,184208848.0,1990/11/9,1990/12/31,Q4,1990
192,Q4 1990,79.0,Kindergarten Cop,Universal Pictures,91457688.0,1990/12/22,1990/12/31,Q4,1990
266,Q2 1991,172.0,Robin Hood: Prince of Thieves,Warner Bros.,165493908.0,1991/6/14,1991/6/30,Q2,1991
124,Q3 1991,167.0,Ghost,Paramount Pictures,217631306.0,1991/7/13,1991/9/30,Q3,1991
326,Q4 1991,147.0,The Addams Family,Paramount Pictures,113502426.0,1991/11/22,1991/12/31,Q4,1991
51,Q4 1991,150.0,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1991/11/15,1991/12/31,Q4,1991
400,Q1 1991,146.0,The Silence of the Lambs,Orion Pictures,130742922.0,1991/2/14,1991/3/31,Q1,1991
437,Q1 1992,260.0,Wayne's World,Paramount Pictures,121697323.0,1992/2/14,1992/3/31,Q1,1992
156,Q4 1992,235.0,Home Alone 2: Lost in New York,Twentieth Century Fox,173585516.0,1992/11/20,1992/12/31,Q4,1992
8,Q4 1992,240.0,A Few Good Men,Columbia Pictures,141340178.0,1992/12/11,1992/12/31,Q4,1992
332,Q4 1992,238.0,The Bodyguard,Warner Bros.,121945720.0,1992/11/25,1992/12/31,Q4,1992
